id,code,department_id/id,name,program_id/id,subject_ids
openeducat_core.op_course_16,BCA-CC-SEM-4,openeducat_core.op_department_1,BCA-CC-Semester-4,openeducat_core.program_1,"Data Communication and Networking (Theory),Cloud Computing -I (T)"
openeducat_core.op_course_17,BCA-CC-SEM-5,openeducat_core.op_department_1,BCA-CC-Semester-5,openeducat_core.program_1,"Front End Development with .NET (Theory),Digital Literacy,Cloud Computing -II (T)"
openeducat_core.op_course_18,BCA-CC-SEM-6,openeducat_core.op_department_1,BCA-CC-Semester-6,openeducat_core.program_1,"Internship/Mini Project-1,Software Engineering (Theory)"
openeducat_core.op_course_19,MCA-BD-SEM-3,openeducat_core.op_department_1,MCA-BD-Semester-3,openeducat_core.program_2,"Mobile Apps Development,Big Data Analytics- II,Minor Project"
openeducat_core.op_course_20,MCA-BD-SEM-4,openeducat_core.op_department_1,MCA-BD-Semester-4,openeducat_core.program_2,"Major Project"
openeducat_core.op_course_21,BCOM-AF-SEM-3,openeducat_core.op_department_2,BCOM-AF-Semester-3,openeducat_core.program_3,"Business Mathematics,Indian Financial System"
openeducat_core.op_course_22,BCOM-AF-SEM-4,openeducat_core.op_department_2,BCOM-AF-Semester-4,openeducat_core.program_3,"Statistics for Business,Cost accounting"
openeducat_core.op_course_23,BCOM-AF-SEM-5,openeducat_core.op_department_2,BCOM-AF-Semester-5,openeducat_core.program_3,"Fundamentals of Indirect Taxation & GST,Business Law"
openeducat_core.op_course_24,BCOM-AF-SEM-6,openeducat_core.op_department_2,BCOM-AF-Semester-6,openeducat_core.program_3,"Management Accounting,Business Environment"
openeducat_core.op_course_25,BTECH-CE-SEM-2,openeducat_core.op_department_3,BTECH-CE-Semester-2,openeducat_core.program_5,"Computer Aided Civil Engineering Drawing,Mechanics of Solids"
openeducat_core.op_course_26,BTECH-CE-SEM-3,openeducat_core.op_department_3,BTECH-CE-Semester-3,openeducat_core.program_5,"Construction Technology,Introduction to Fluid Mechanics,Product Realization"
openeducat_core.op_course_27,BTECH-CE-SEM-4,openeducat_core.op_department_3,BTECH-CE-Semester-4,openeducat_core.program_5,"Mechanics of Materials,Geo-Technical Engineering,Transportation Engineering"
openeducat_core.op_course_28,BTECH-CE-SEM-5,openeducat_core.op_department_3,BTECH-CE-Semester-5,openeducat_core.program_5,"Design of Reinforced Concrete Structures,Summer Internship-1"
openeducat_core.op_course_29,BTECH-CE-SEM-6,openeducat_core.op_department_3,BTECH-CE-Semester-6,openeducat_core.program_5,"Design of Steel Structures,Estimation - Costing and Valuation,Model Testing & Simulation"
openeducat_core.op_course_30,BTECH-CE-SEM-7,openeducat_core.op_department_3,BTECH-CE-Semester-7,openeducat_core.program_5,"Construction Project Management and Economics,PROJECT-1,Summer Internship-2"
openeducat_core.op_course_31,BTECH-CE-SEM-8,openeducat_core.op_department_3,BTECH-CE-Semester-8,openeducat_core.program_5,"Project Planning & Economics,Project-2"
openeducat_core.op_course_32,BA-PY-SEM-3,openeducat_core.op_department_4,BA-PY-Semester-3,openeducat_core.program_4,"Social Psychology,Educational Psychology"
openeducat_core.op_course_33,BA-PY-SEM-4,openeducat_core.op_department_4,BA-PY-Semester-4,openeducat_core.program_4,"Psychology of Personality,Positive Mental Health"
openeducat_core.op_course_34,BA-PY-SEM-5,openeducat_core.op_department_4,BA-PY-Semester-5,openeducat_core.program_4,"Indian Psychology,Psychological Disorders"
openeducat_core.op_course_35,BA-PY-SEM-6,openeducat_core.op_department_4,BA-PY-Semester-6,openeducat_core.program_4,"Rehabilitation Psychology,Introduction to Diagnostics and Counselling Skills"
openeducat_core.op_course_36,BTECH-CH-SEM-2,openeducat_core.op_department_3,BTECH-CH-Semester-2,openeducat_core.program_6,"Mechanics of Solid,Programming for Problem Solving"
openeducat_core.op_course_37,BTECH-CH-SEM-3,openeducat_core.op_department_3,BTECH-CH-Semester-3,openeducat_core.program_6,"Particle and Fluid Particle Processing,Fluid Mechanics Lab"
openeducat_core.op_course_38,BTECH-CH-SEM-4,openeducat_core.op_department_3,BTECH-CH-Semester-4,openeducat_core.program_6,"Heat Transfer,Mass Transfer-I"
openeducat_core.op_course_39,BTECH-CH-SEM-5,openeducat_core.op_department_3,BTECH-CH-Semester-5,openeducat_core.program_6,"Mass Transfer -II,Chemical Reaction Engineering-I"
openeducat_core.op_course_40,BTECH-CH-SEM-6,openeducat_core.op_department_3,BTECH-CH-Semester-6,openeducat_core.program_6,"Summer Internship-I,Chemical Reaction Engineering- II,Process Equipment Design"
openeducat_core.op_course_41,BTECH-CH-SEM-7,openeducat_core.op_department_3,BTECH-CH-Semester-7,openeducat_core.program_6,"Project-I,Summer Internship-II"
openeducat_core.op_course_42,BTECH-CH-SEM-8,openeducat_core.op_department_3,BTECH-CH-Semester-8,openeducat_core.program_6,"Project II,Chemical Engineering Plant Design & Economics"
openeducat_core.op_course_43,D-AE-S2,openeducat_core.op_department_3,DIPLOMA-AE-Semester-2,openeducat_core.program_7,"Engineering Physics,Engineering Chemistry,Engineering Mechanics in Agriculture"
openeducat_core.op_course_44,D-AE-S3,openeducat_core.op_department_3,DIPLOMA-AE-Semester-3,openeducat_core.program_7,"Soil and Water Conservation Engineering,Food Engineering,Farm Power Engineering"
openeducat_core.op_course_45,D-AE-S4,openeducat_core.op_department_3,DIPLOMA-AE-Semester-4,openeducat_core.program_7,"Farm Machinery and Implements,Post Harvest Technology,Strength of Material"
openeducat_core.op_course_46,D-AE-S5,openeducat_core.op_department_3,DIPLOMA-AE-Semester-5,openeducat_core.program_7,"Farm Tractor Systems and Controls,Agricultural Process Engineering,Agricultural Structures"
openeducat_core.op_course_47,D-AE-S6,openeducat_core.op_department_3,DIPLOMA-AE-Semester-6,openeducat_core.program_7,"Industrial and Field Training cum Project Work"
openeducat_core.op_course_48,D-EE-S2,openeducat_core.op_department_3,DIPLOMA-EE-Semester-2,openeducat_core.program_8,"Electrical Workshop Practice Lab,Electronics devices and circuits,Engineering Graphics Lab"
openeducat_core.op_course_49,D-EE-S3,openeducat_core.op_department_3,DIPLOMA-EE-Semester-3,openeducat_core.program_8,"Digital Electronics,Electronics Equipment and Maintenance,Electronic Circuits and Network"
openeducat_core.op_course_50,D-EE-S4,openeducat_core.op_department_3,DIPLOMA-EE-Semester-4,openeducat_core.program_8,"Power Electronics,Digital Communication Systems,Linear Integrated Circuits"
openeducat_core.op_course_51,D-EE-S5,openeducat_core.op_department_3,DIPLOMA-EE-Semester-5,openeducat_core.program_8,"Mobile and Wireless Communication Lab,Embedded Systems,Industrial Automation"
openeducat_core.op_course_52,D-EE-S6,openeducat_core.op_department_3,DIPLOMA-EE-Semester-6,openeducat_core.program_8,"Indian Constitution,Signal and Systems,Computer Networking and Data Communication"
openeducat_core.op_course_53,IE-CSE-M-S2,openeducat_core.op_department_3,IE-CSE-MICROSOFT-Semester-2,openeducat_core.program_10,"Design Thinking,ICT workshop,Advanced Communication & Technical Writing"
openeducat_core.op_course_54,IE-CSE-M-S3,openeducat_core.op_department_3,IE-CSE-MICROSOFT-Semester-3,openeducat_core.program_10,"Design of Data Structures,Database Management System,Discrete Mathematics"
openeducat_core.op_course_55,IE-CSE-M-S4,openeducat_core.op_department_3,IE-CSE-MICROSOFT-Semester-4,openeducat_core.program_10,"Operating System Laboratory,Computer Network Laboratory,Programming in Python with Full Stack Development"
openeducat_core.op_course_56,IE-CSE-M-S5,openeducat_core.op_department_3,IE-CSE-MICROSOFT-Semester-5,openeducat_core.program_10,"Design and Analysis of Algorithms,Professionalism & Corporate Ethics,Software Engineering Laboratory"
openeducat_core.op_course_57,IE-CSE-M-S6,openeducat_core.op_department_3,IE-CSE-MICROSOFT-Semester-6,openeducat_core.program_10,"Data visualization and Data Analytics,Compiler Design,MEA(R)N Stack Web Development"
openeducat_core.op_course_58,IE-CSE-M-S7,openeducat_core.op_department_3,IE-CSE-MICROSOFT-Semester-7,openeducat_core.program_10,"Information and Network Security,Data Science Laboratory"
openeducat_core.op_course_59,IE-CSE-M-S8,openeducat_core.op_department_3,IE-CSE-MICROSOFT-Semester-8,openeducat_core.program_10,"Internship"
